list,item,emotion,tense,sentence,target_x,target_y,distract_x,distract_y,,
2,1,anxiety,past,The though did make my nerves skyrocket,-0.25,0.25,0.25,-0.25,,
2,2,anxiety,future,It would wind me up ,0.25,0.25,-0.25,-0.25,,
2,3,anxiety,past,I was like a cat on a hot tin roof ,-0.25,0.25,0.25,-0.25,,
2,4,anxiety,future,I will be bouncing off the ceiling ,0.25,0.25,-0.25,-0.25,,
2,5,anxiety,past,The thought drove me up the wall ,-0.25,0.25,0.25,-0.25,,
2,6,anxiety,future,Panic stations would be on high alert ,0.25,0.25,-0.25,-0.25,,
2,7,anxiety,past,It sent my nerves through the roof ,-0.25,0.25,0.25,-0.25,,
2,8,anxiety,future,I would be off the chart ,0.25,0.25,-0.25,-0.25,,
2,9,anxiety,past,My nerves rose ,-0.25,0.25,0.25,-0.25,,
2,10,anxiety,future,I would be a nervous wreck ,0.25,0.25,-0.25,-0.25,,
2,11,anxiety,past,The lid flew off and everything came out ,-0.25,0.25,0.25,-0.25,,
2,12,anxiety,future,I will be shaking like a leaf ,0.25,0.25,-0.25,-0.25,,
2,13,anxiety,past,I could not contain my fears ,-0.25,0.25,0.25,-0.25,,
2,14,anxiety,future,I would be struck down by fear ,0.25,0.25,-0.25,-0.25,,
2,15,anxiety,past,I could not shake the nervous feelin,-0.25,0.25,0.25,-0.25,,
2,16,anxiety,future,Anxiety will make my patience run out ,0.25,0.25,-0.25,-0.25,,
2,17,depression,past,I had reached rock bottom ,-0.25,-0.25,0.25,0.25,,
2,18,depression,future,I would fall into the abyss ,0.25,-0.25,-0.25,0.25,,
2,19,depression,past,I was sucked into a black hole ,-0.25,-0.25,0.25,0.25,,
2,20,depression,future,The sinking feeling will come on ,0.25,-0.25,-0.25,0.25,,
2,21,depression,past,Talking with her brought me down,-0.25,-0.25,0.25,0.25,,
2,22,depression,future,Dark clouds will bear down on me ,0.25,-0.25,-0.25,0.25,,
2,23,depression,past,Things went rapidly downhill ,-0.25,-0.25,0.25,0.25,,
2,24,depression,future,I would feel totally deflated ,0.25,-0.25,-0.25,0.25,,
2,25,depression,past,The experience was draining ,-0.25,-0.25,0.25,0.25,,
2,26,depression,future,I would feel downtrodden ,0.25,-0.25,-0.25,0.25,,
2,27,depression,past,I was at the bottom of the barrel ,-0.25,-0.25,0.25,0.25,,
2,28,depression,future,It can make me feel low and numb ,0.25,-0.25,-0.25,0.25,,
2,29,depression,past,It made my mood nosedive ,-0.25,-0.25,0.25,0.25,,
2,30,depression,future,I would feel a lesser person ,0.25,-0.25,-0.25,0.25,,
2,31,depression,past,I descended into oblivion ,-0.25,-0.25,0.25,0.25,,
2,32,depression,future,I would be down in the dumps ,0.25,-0.25,-0.25,0.25,,
2,33,neutral,present,Its within reach,-0.25,-0.25,0.25,0.25,,
2,34,neutral,present,They moved the goalposts,-0.25,-0.25,0.25,0.25,,
2,35,neutral,present,I am over her,-0.25,-0.25,0.25,0.25,,
2,36,neutral,present,The job is beneath me,-0.25,-0.25,0.25,0.25,,
2,37,neutral,present,I made a pig of myself,-0.25,0.25,0.25,-0.25,,
2,38,neutral,present,That horse has bolted,-0.25,0.25,0.25,-0.25,,
2,39,neutral,present,Back to square one,-0.25,0.25,0.25,-0.25,,
2,40,neutral,present,Was like a broken record,-0.25,0.25,0.25,-0.25,,
2,41,neutral,present,My time had arrived,0.25,-0.25,-0.25,0.25,,
2,42,neutral,present,The virus returned,0.25,-0.25,-0.25,0.25,,
2,43,neutral,present,Time flies,0.25,-0.25,-0.25,0.25,,
2,44,neutral,present,The cruel sea,0.25,-0.25,-0.25,0.25,,
2,45,neutral,present,Strike while the iron is hot,0.25,0.25,-0.25,-0.25,,
2,46,neutral,present,She ghosted me,0.25,0.25,-0.25,-0.25,,
2,47,neutral,present,The big day loomed large,0.25,0.25,-0.25,-0.25,,
2,48,neutral,present,One step at a time,0.25,0.25,-0.25,-0.25,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
