effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),0.219198337,0.141520426,1.548881268,0.121410265
fixed,NA,X_1,0.383425645,0.159635481,2.401882345,0.016310954
fixed,NA,X_2,-0.835746066,0.214934655,-3.888372795,1.01E-04
ran_pars,subj_id,sd__(Intercept),0.978463024,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.062818683,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.192154333,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.597286093,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.041336945,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.550939951,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.527648805,NA,NA,NA
fixed,NA,(Intercept),1.15E-04,0.150910129,7.60E-04,0.999393252
fixed,NA,X_1,0.614235739,0.15690607,3.914671622,9.05E-05
fixed,NA,X_2,-0.521498605,0.201242547,-2.591393387,0.009558815
ran_pars,subj_id,sd__(Intercept),1.143080451,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,-0.088016497,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.282768478,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.623403456,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.099327808,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.3928151,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.508333922,NA,NA,NA
fixed,NA,(Intercept),0.067183362,0.130286812,0.515657426,0.606093694
fixed,NA,X_1,0.348988657,0.13492,2.586633977,0.009691848
fixed,NA,X_2,-0.95558677,0.195060551,-4.89892377,9.64E-07
ran_pars,subj_id,sd__(Intercept),0.938071105,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.237582702,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.262778907,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.3141567,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.628307342,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.422941653,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.458673049,NA,NA,NA
fixed,NA,(Intercept),-0.028811928,0.139840598,-0.20603407,0.836764298
fixed,NA,X_1,0.498573897,0.157616396,3.163210861,0.001560393
fixed,NA,X_2,-0.668364685,0.200552448,-3.33261793,8.60E-04
ran_pars,subj_id,sd__(Intercept),0.939425363,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.29341074,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.20182667,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.489826916,NA,NA,NA
ran_pars,subj_id,cor__X_1.X_2,-0.121480937,NA,NA,NA
ran_pars,subj_id,sd__X_2,1.326901791,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.535462983,NA,NA,NA
fixed,NA,(Intercept),-0.016427145,0.151898181,-0.108145763,0.913880068
fixed,NA,X_1,0.595555924,0.156214313,3.812428663,1.38E-04
fixed,NA,X_2,-1.017115598,0.195600746,-5.199957671,1.99E-07
ran_pars,subj_id,sd__(Intercept),1.122826959,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_1,0.13356775,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_2,0.228068223,NA,NA,NA
ran_pars,subj_id,sd__X_1,0.460022227,NA,NA,NA
